Hour,Price (€/MWh),Charge (MW),Discharge (MW),SOC (MWh)
0,52.9,20.0,0.0,50.0
1,52.72,20.0,0.0,70.0
2,58.37,0.0,20.0,90.0
3,60.32,0.0,20.0,70.0
4,55.08,20.0,0.0,50.0
5,55.64,20.0,0.0,70.0
6,55.96,0.0,10.0,90.0
7,54.08,20.0,0.0,80.0
8,67.67,0.0,20.0,100.0
9,71.04,0.0,20.0,80.0
10,68.82,0.0,20.0,60.0
11,67.46,0.0,20.0,40.0
12,63.69,0.0,20.0,20.0
13,55.1,0.0,0.0,0.0
14,51.0,20.0,0.0,0.0
15,46.54,20.0,0.0,20.0
16,54.22,0.0,0.0,40.0
17,54.74,0.0,20.0,40.0
18,54.86,0.0,20.0,20.0
19,46.08,20.0,0.0,0.0
20,50.33,0.0,20.0,20.0
21,41.22,20.0,0.0,0.0
22,38.14,20.0,0.0,20.0
23,48.11,20.0,0.0,40.0
24,47.69,20.0,0.0,60.0
25,49.76,20.0,0.0,80.0
26,57.06,0.0,20.0,100.0
27,52.23,20.0,0.0,80.0
28,60.6,0.0,20.0,100.0
29,54.38,0.0,0.0,80.0
30,53.74,20.0,0.0,80.0
31,62.56,0.0,20.0,100.0
32,59.67,0.0,20.0,80.0
33,70.85,0.0,20.0,60.0
34,64.5,0.0,20.0,40.0
35,65.99,0.0,20.0,20.0
36,58.56,20.0,0.0,0.0
37,60.27,0.0,20.0,20.0
38,57.03,0.0,0.0,0.0
39,49.92,20.0,0.0,0.0
40,55.08,0.0,20.0,20.0
41,53.83,20.0,0.0,0.0
42,55.74,0.0,20.0,20.0
43,48.4,0.0,0.0,0.0
44,40.25,20.0,0.0,0.0
45,35.35,20.0,0.0,20.0
46,40.45,0.0,20.0,40.0
47,48.77,0.0,20.0,20.0
